"행정구역별(읍면동)",2019,2020,2021,2022
"행정구역별(읍면동)",총인구 (명),총인구 (명),총인구 (명),총인구 (명)
"전국",51779203,51829136,51738071,51692272
"대구광역시",2429940,2410700,2387911,2366852
"인천광역시",2952237,2945454,2957044,2989125
"광주광역시",1489730,1477573,1475262,1468972
"울산광역시",1143692,1135423,1120753,1110516
"경기도",13300900,13511676,13652529,13717827
"충청북도",1629343,1632088,1624764,1624993
"전라북도",1807423,1802766,1787053,1774248
"전라남도",1787543,1788807,1778124,1771431
"경상북도",2668154,2644757,2635314,2620373
"경상남도",3347209,3333056,3305931,3280829
"제주특별자치도",665048,670858,673107,676375
